App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Paint Splash!,ART_AND_DESIGN,3.8,-0.14391809443871115,-0.9000785262955325,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,-0.14518772387092985,-0.42204220866915865,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,-0.04355621741711286,0.10910925536014578,0.06226323875003086,Free,-0.06825988002925136,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,-0.14457969950063795,0.19763449936502983,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,-0.14515336234042484,-0.5990926966789267,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up
How To Draw Food,ART_AND_DESIGN,4.3,-0.14471073923561464,-0.603518958879171,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Art & Design,"May 28, 2018",1.0,2.3 and up
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,-0.1449891258725874,0.1533718773625878,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"May 10, 2018",1.0,4.0.3 and up
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,-0.1442721929225593,1.5255131594382907,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 26, 2018",11.0,4.1 and up
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,-0.14503746497482323,1.5697757814407327,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,-0.1451277367922516,0.5959980973870082,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,-0.1448872060787166,0.5074728533821241,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 31, 2018",4.0,4.1 and up
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,-0.13909990898332347,0.5074728533821241,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,-0.1447340351884994,-0.7053229894847877,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,-0.1451277367922516,1.4369879154334066,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
Restart Navigator,AUTO_AND_VEHICLES,4.0,-0.14438576069287246,-0.9442968856759721,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,-0.14289016051767173,-0.7938482334896717,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up
CityBus Lviv,AUTO_AND_VEHICLES,4.6,-0.14489186526929357,-0.7008967272845434,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,-0.14067529779715446,-0.20072909865694846,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,-0.12257900159628342,-0.5725351234774615,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,-0.14378705470373446,-0.8469633798926022,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,-0.14165605741360227,0.24189712136747188,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,-0.14503105858777993,-0.8336845932918695,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,-0.14509221046410237,-0.842537117692358,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,-0.11460945611441165,-0.6433553186813687,-0.0459250079002564,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 16, 2018",4.47.3,4.0.3 and up
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,-0.07707035763593122,0.5959980973870082,-0.0459250079002564,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,-0.14439973826460328,-0.24499172065939048,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,0.013163021470201437,-0.24499172065939048,0.06226323875003086,Free,-0.06825988002925136,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,-0.1411138441102098,-0.20072909865694846,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,-0.14508813367234755,-0.8027007578901602,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,-0.14477363830840348,-0.5592563368767289,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,-0.14312137285005283,-0.780569446888939,-0.1324756052204862,Free,-0.06825988002925136,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,-0.14462396181111897,-0.8248320688913812,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,-0.030391092043120526,0.7287859633943342,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,-0.14512016560756408,0.46321023137968204,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,-0.13636904090640908,0.6845233413918922,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up
Supervision service,AUTO_AND_VEHICLES,4.0,-0.1439477967786392,-0.28925434266183253,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,-0.14512249520285256,-0.714175513885276,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 23, 2018",1.0,4.0.3 and up
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,-0.1420497590173545,-0.15646647665450641,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,-0.14500019145020762,0.7287859633943342,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,-0.14505726653477527,-0.9045047884957768,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up
SMS Park,AUTO_AND_VEHICLES,4.5,-0.14309632970070174,-0.603518958879171,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up
SKencar,AUTO_AND_VEHICLES,3.7,-0.14240385750120263,0.5959980973870082,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up
auto fines,AUTO_AND_VEHICLES,4.6,-0.12689632406464904,-0.20072909865694846,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"August 2, 2018",1.40,4.0.3 and up
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,-0.1422343794439661,-0.1122038546520644,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,-0.14418133870630878,-0.33351696466427455,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,-0.1436420373970269,-0.8558159042930905,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up
Gas Station,AUTO_AND_VEHICLES,4.0,-0.14445273655741608,-0.7540118736874739,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up
Hush - Beauty for Everyone,BEAUTY,4.7,-0.13419552850226224,-0.20072909865694846,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,-0.11620522888701679,-0.33351696466427455,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up
Natural recipes for your beauty,BEAUTY,4.7,-0.14453310759486845,-0.5194199770745311,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Beauty,"May 15, 2018",4.0,4.1 and up
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,-0.14419007468864056,-0.023678610647180326,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up
Beauty Selfie Camera,BEAUTY,4.2,-0.1439070288610909,1.3484626714285226,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up
Hairstyles step by step,BEAUTY,4.6,-0.14265836578646848,-0.33351696466427455,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up
Filters for Selfie,BEAUTY,4.3,-0.14021054353710377,0.1533718773625878,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up
Tie - Always be happy,BEAUTY,4.7,-0.14464143377578254,-0.5548300746764847,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up
Prom MakeUp Tutorial,BEAUTY,4.8,-0.14514229676280457,-0.42204220866915865,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up
Sweet Selfie Beauty Camera,BEAUTY,4.3,-0.14485284454821162,0.5959980973870082,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up
Colors of white in Urdu,BEAUTY,4.5,-0.14518189988270866,-0.6566341052821014,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,-0.14509395766056873,0.37468498737479794,-0.1530313720840408,Free,-0.06825988002925136,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up
Wrinkles and rejuvenation,BEAUTY,4.3,-0.14509686965467933,-0.7008967272845434,-0.15194948961753793,Free,-0.06825988002925136,Everyone 10+,Beauty,"September 20, 2017",8.0,3.0 and up
Eyes Makeup Beauty Tips,BEAUTY,4.2,-0.14518539427564137,-0.8248320688913812,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up
Photo Editor 2018,BEAUTY,4.5,-0.14512482479814104,-0.20072909865694846,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"March 1, 2018",1.20,4.0.3 and up
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,-0.14515976872746814,-0.8248320688913812,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,-0.1397778212122696,-0.8381108554921137,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,-0.14515918632864602,-0.7672906602882065,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,-0.1451807350850644,-0.6389290564811246,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,-0.12957477624757277,1.5697757814407327,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Beauty,"July 24, 2018",18.5,5.0 and up
Manicure - nail design,BEAUTY,4.3,-0.1451335607804728,-0.7894219712894275,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Beauty,"July 23, 2018",1.3,4.1 and up
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,-0.14387674412234072,0.020584011355261705,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up
Filters for B Live,BEAUTY,4.4,-0.14387499692587438,0.10910925536014578,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up
Skin Care and Natural Beauty,BEAUTY,4.3,-0.14482197741063932,-0.625650269880392,-0.15194948961753793,Free,-0.06825988002925136,Teen,Beauty,"July 17, 2018",1.15,4.1 and up
Facial Wrinkle Reduction,BEAUTY,4.6,-0.1450957048570351,-0.023678610647180326,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up
Makeup Videos,BEAUTY,3.8,-0.14519762465090585,-0.8027007578901602,-0.15400506630389338,Free,-0.06825988002925136,Everyone,Beauty,"June 7, 2018",1.0,4.0 and up
"Secrets of beauty, youth and health",BEAUTY,4.3,-0.1451580215310018,-0.8248320688913812,-0.15389687805724309,Free,-0.06825988002925136,Mature 17+,Beauty,"August 8, 2017",2.0,2.3 and up
Recipes and tips for losing weight,BEAUTY,4.3,-0.14518248228153077,-0.8159795444908927,-0.15389687805724309,Free,-0.06825988002925136,Everyone 10+,Beauty,"December 11, 2017",2.0,3.0 and up
Discover Color,BEAUTY,4.0,-0.14499087306905373,-0.669912891882834,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up
Eyeliner step by step 2018,BEAUTY,4.3,-0.14519238306150678,-0.8115532822906485,-0.15400506630389338,Free,-0.06825988002925136,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up
Dresses Ideas & Fashions +3000,BEAUTY,4.5,-0.1449273915974428,-0.5902401722784384,-0.15194948961753793,Free,-0.06825988002925136,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up
"Lady adviser (beauty, health)",BEAUTY,4.3,-0.14518539427564137,-0.5149937148742869,-0.15389687805724309,Free,-0.06825988002925136,Mature 17+,Beauty,"January 24, 2018",3.0,3.0 and up
Step By Step Hairstyles For Women,BEAUTY,4.1,-0.1451644279180451,-0.8248320688913812,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up
Rainbow Camera,BEAUTY,3.7,-0.1429484003998836,0.06484663335770374,-0.1324756052204862,Free,-0.06825988002925136,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up
Methods of teeth whitening,BEAUTY,4.7,-0.14505318974302042,-0.7495856114872297,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Beauty,"August 7, 2017",1.0,4.0.3 and up
Girls hairstyles 2018,BEAUTY,4.2,-0.14516675751333358,-0.8159795444908927,-0.15389687805724309,Free,-0.06825988002925136,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,-0.14412135162763057,-0.736306824886497,-0.1530313720840408,Free,-0.06825988002925136,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up
Download free book with green book,BOOKS_AND_REFERENCE,4.6,-0.14259488431485756,-0.5326987636752637,-0.15194948961753793,Free,-0.06825988002925136,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,-0.14495942353265934,-0.7672906602882065,-0.15194948961753793,Free,-0.06825988002925136,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up
Book store,BOOKS_AND_REFERENCE,4.4,-0.1321070463261447,-0.714175513885276,-0.1324756052204862,Free,-0.06825988002925136,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,-0.14436712393056464,-0.8292583310916253,-0.14329442988551494,Free,-0.06825988002925136,Everyone,Books & Reference,"January 21, 2018",1.0,4.0 and up
